episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
100,1.0,3.1997270814327394,0.6830459389249236,0.16778408136279277,-10.8,1.0,8,0.0,False,True,0.7905180670215993,1,17.709159380834848,486.163,prepare,0.0,0
100,2.0,3.199732793847647,0.6831032114197833,0.18326595495146542,12.8,1.0,9,0.8043411550130162,False,True,0.7905513581379281,1,17.709159380834848,486.221,in_progress,0.0,0
100,3.0,3.2099970548837464,0.6840515430881213,0.38330344619603035,-6.1,1.0,0,0.8893953809150408,False,True,0.8485197494436446,1,17.709159380834848,486.299,in_progress,0.0,0
100,4.0,3.235219612816281,0.6874611843885018,1.2212122604766746,-0.3,1.0,5,0.9843474271581734,False,True,0.990975690665953,1,17.709159380834848,486.36,in_progress,0.0,0
100,5.0,3.2742541261547102,0.6850173918039348,0.4483731671202628,0.5,1.0,2,0.991248494768764,False,True,1.2113742113080908,1,17.709159380834848,486.429,in_progress,0.0,0
100,6.0,3.3228526722330645,0.6824483945070121,-0.24602538055012815,0.5,1.0,2,0.9889991167873419,False,True,1.4857777221897503,2,17.709159380834848,486.502,in_progress,0.0,0
100,7.0,3.3800851501318276,0.6777702089699419,-1.284995612250468,-0.3,1.0,5,0.9417391441006389,False,True,1.808957479022241,2,17.709159380834848,486.57,in_progress,0.0,0
100,8.0,3.4489156197073094,0.6716524420283951,-2.304344712689391,0.5,1.0,2,0.9146438209775133,False,True,2.1976202882565,3,17.709159380834848,486.625,in_progress,0.0,0
100,9.0,3.503169204708943,0.6677138238186998,-2.6991596997675935,14.4,1.0,10,0.8766939269625272,False,True,2.5039735348638135,3,17.709159380834848,486.703,in_progress,0.0,0
100,10.0,3.585031651890178,0.6719102704242438,-0.9203939656308746,30.0,1.0,11,0.5695206442537996,False,True,2.966230779379698,4,17.709159380834848,486.767,in_progress,0.0,0
100,11.0,3.650051727251842,0.6822708053848526,1.6444528393998754,6.9,1.0,1,0.8706542346306289,False,True,3.333408958975563,4,17.709159380834848,486.835,in_progress,0.0,0
100,12.0,3.723457123743116,0.6945399013500082,3.8794165924834396,0.5,1.0,2,0.8919258368408994,False,True,3.7479402250297653,4,17.709159380834848,486.9,in_progress,0.0,0
100,13.0,3.792654267666229,0.6990376224042593,3.844967481731379,0.5,1.0,2,0.877492838588634,False,True,4.138691804505674,5,17.709159380834848,486.973,in_progress,0.0,0
100,14.0,3.8680248011623197,0.7010642067813887,3.1325219848956287,0.3,1.0,6,0.8883776128601835,False,True,4.56429547434043,5,17.709159380834848,487.034,in_progress,0.0,0
100,15.0,3.936145883239941,0.7042894825787253,3.0197527155413475,-10.8,1.0,8,0.932693979317413,False,True,4.948967600288846,6,17.709159380834848,487.102,in_progress,0.0,0
100,16.0,4.008154155871828,0.7026614117956405,1.7974149104975348,-5.7,1.0,7,0.983458165728846,False,True,5.355580318483898,6,17.709159380834848,487.166,in_progress,0.0,0
100,17.0,4.06554089900725,0.6962589859394288,-0.06354907962229493,-5.7,1.0,7,0.9191759222056768,False,True,5.679618935404525,7,17.709159380834848,487.229,in_progress,0.0,0
100,18.0,4.140699658110373,0.6870153756864494,-2.0801612669242586,0.5,1.0,2,0.9418375822270877,False,True,6.1040070299527125,7,17.709159380834848,487.306,in_progress,0.0,0
100,19.0,4.2102245243762475,0.6787488772629128,-3.3463345365565753,14.4,1.0,10,0.892077319882778,False,True,6.496583189854377,8,17.709159380834848,487.366,in_progress,0.0,0
100,20.0,4.272828915437835,0.6768038297908633,-2.9512443183736026,6.9,1.0,1,0.9722804714371872,False,True,6.85009324323798,8,17.709159380834848,487.437,in_progress,0.0,0
100,21.0,4.350810567900815,0.6780493962957852,-1.8064368767254637,30.0,1.0,11,0.6314961772317345,False,True,7.290442181560467,9,17.709159380834848,487.508,in_progress,0.0,0
100,22.0,4.421746371424047,0.6851820393154154,0.2697331800590081,14.4,1.0,10,0.842758429634719,False,True,7.691016576423763,9,17.709159380834848,487.574,in_progress,0.0,0
100,23.0,4.494733792016959,0.7021616007598703,3.9145502022477956,0.5,1.0,2,0.9590303867129706,False,True,8.103195678643845,10,17.709159380834848,487.639,in_progress,0.0,0
100,24.0,4.560498327393283,0.719334423765776,6.712167567009324,8.1,1.0,3,0.7300755578153317,False,True,8.474591413659878,10,17.709159380834848,487.704,in_progress,0.0,0
100,25.0,4.63491832183132,0.7391239761706835,9.144966451331634,-5.7,1.0,7,0.8598744373562427,False,True,8.894866942058938,11,17.709159380834848,487.775,in_progress,0.0,0
100,26.0,4.704693200358714,0.7539470745853009,9.892306263979123,19.2,1.0,4,0.3883778559121943,False,True,9.288902145083751,11,17.709159380834848,487.833,in_progress,0.0,0
100,27.0,4.770339317890976,0.7683801149785346,10.506363532992065,-10.8,1.0,8,0.8380417095670517,False,True,9.65963043945959,11,17.709159380834848,487.904,in_progress,0.0,0
100,28.0,4.837677092080108,0.7809522080470072,10.532327440710807,-5.7,1.0,7,0.720917867642849,False,True,10.039900354346077,12,17.709159380834848,487.974,in_progress,0.0,0
100,29.0,4.91073105351817,0.7871097687075996,8.911759516401945,-5.7,1.0,7,0.7459106683870367,False,True,10.452436909405693,12,17.709159380834848,488.039,in_progress,0.0,0
100,30.0,4.976904733343462,0.787703238223341,6.751207218990657,-5.7,1.0,7,0.8108376155640146,False,True,10.826107416117441,13,17.709159380834848,488.087,in_progress,0.0,0
100,31.0,5.042901245433223,0.7866975968153102,4.847235023635884,-0.3,1.0,5,0.7800029932423037,False,True,11.198752796082134,13,17.709159380834848,488.166,in_progress,0.0,0
100,32.0,5.11593120264447,0.7866282655896372,3.4803303930888947,-5.7,1.0,7,0.9301910635580424,False,True,11.611137860107458,14,17.709159380834848,488.233,in_progress,0.0,0
100,33.0,5.18504061918799,0.7823544533943241,1.6317043886910283,-5.7,1.0,7,0.989373642970427,False,True,12.001348110931808,14,17.709159380834848,488.3,in_progress,0.0,0
100,34.0,5.253804972788489,0.7759862305607009,-0.25384802530923484,0.3,1.0,6,0.9996265841877319,False,True,12.389635470606123,15,17.709159380834848,488.368,in_progress,0.0,0
100,35.0,5.323937587309702,0.7706518217962852,-1.381976616876206,0.5,1.0,2,0.9250142175370122,False,True,12.785722651863276,15,17.709159380834848,488.432,in_progress,0.0,0
100,36.0,5.3911490824858195,0.7652190912774348,-2.2039594196606243,12.8,1.0,9,0.9470443716871665,False,True,13.165238409802663,16,17.709159380834848,488.511,in_progress,0.0,0
100,37.0,5.470351198265614,0.7616989830178703,-2.3222058743077394,0.5,1.0,2,0.7837343487893953,False,True,13.612912671514824,16,17.709159380834848,488.571,in_progress,0.0,0
100,38.0,5.5313140227816655,0.7605907905112916,-2.005876032026385,30.0,1.0,11,0.7649652841777795,False,True,13.957147733164513,17,17.709159380834848,488.632,in_progress,0.0,0
100,39.0,5.595843127288011,0.7623934480755752,-1.069206461581942,0.5,1.0,2,0.721831429777354,False,True,14.321544905250727,17,17.709159380834848,488.7,in_progress,0.0,0
100,40.0,5.670171698165034,0.7700253873365507,0.9167970698119797,0.3,1.0,6,0.7213305384753608,False,True,14.740460535023756,17,17.709159380834848,488.768,in_progress,0.0,0
100,41.0,5.73768906388791,0.7709085741700824,0.8763224537080666,14.4,1.0,10,0.9066855086931773,False,True,15.121715649680995,18,17.709159380834848,488.831,in_progress,0.0,0
100,42.0,5.804457696658982,0.7745055541179275,1.468793234341382,0.3,1.0,6,0.6314445203133136,False,True,15.496545963050758,18,17.709159380834848,488.898,in_progress,0.0,0
100,43.0,5.872917860364781,0.7795704629398278,2.1891961362631993,12.8,1.0,9,0.8082870635632892,False,True,15.882990213627442,19,17.709159380834848,488.962,in_progress,0.0,0
100,44.0,5.942371827383148,0.7871975944498522,3.290701743059044,12.8,1.0,9,0.7812725258583391,False,True,16.272783109070804,19,17.709159380834848,489.032,in_progress,0.0,0
100,45.0,6.01435844751732,0.8070953877699393,6.8173295281808555,8.1,1.0,3,0.7592548689240126,False,True,16.678322566104807,20,17.709159380834848,489.098,in_progress,0.0,0
100,46.0,6.0878475964447,0.8293423173285999,9.699204170873967,14.4,1.0,10,0.9052975916697755,False,True,17.120352364817865,20,17.709159380834848,489.171,in_progress,0.0,0
100,47.0,6.1619184501220605,0.8548590255506862,12.53629747092903,0.5,1.0,2,0.7175093131273119,False,True,17.54216299163178,21,17.709159380834848,489.241,in_progress,0.0,0
100,48.0,6.227293026397215,0.8777157716800507,14.319884553494958,0.5,1.0,2,0.7325177074466138,False,True,17.975721641244398,21,17.709159380834848,489.304,in_progress,0.0,0
100,49.0,6.293522477506181,0.8985259809892553,15.114257772936403,8.1,1.0,3,0.8354242574945612,False,True,18.358128386569717,22,17.709159380834848,489.371,in_progress,0.0,0
100,50.0,6.364644233414013,0.9232959854751162,16.2995689269361,19.2,1.0,4,0.9970396914955345,False,True,18.83669927166438,22,17.709159380834848,489.433,in_progress,0.0,0
100,51.0,6.427236818230725,0.9543104527938261,19.03037173687264,-0.3,1.0,5,0.693236832303841,False,True,19.210607834519937,23,17.709159380834848,489.507,in_progress,0.0,0
100,52.0,6.488349391438589,0.9849888037407178,21.058347237412395,6.9,1.0,1,0.8141193653848935,False,True,19.873393266359,23,17.709159380834848,489.586,in_progress,0.0,0
100,53.0,6.571561236729209,1.0153019020189618,20.73201586789687,12.8,1.0,9,0.7822180109324364,False,True,20.618551858197627,24,17.709159380834848,489.613,in_progress,0.0,0
100,54.0,6.595220188170897,1.0248330842927507,20.846510970328982,30.0,1.0,11,0.9636088705843497,False,True,20.76146454814902,25,17.709159380834848,489.695,in_progress,0.0,0
