episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
0,1.0,3.1998967114414745,0.6831039913009757,0.183076163742221,8.1,1.0,3,0.0,False,True,0.791476976606522,1,17.709159380834848,5.122,prepare,0.0,0
0,2.0,3.1997327938476117,0.6831032114197831,0.18326595495146542,12.8,1.0,9,0.8043411550130134,False,True,0.7905513581379272,1,17.709159380834848,5.192,in_progress,0.0,0
0,3.0,3.2121692799361896,0.6829549334821259,0.16623349700994222,14.4,1.0,10,0.7772261763656724,False,True,0.8607763629672595,1,17.709159380834848,5.25,in_progress,0.0,0
0,4.0,3.2335655494721967,0.6860152866773448,0.8843301613802942,-5.7,1.0,7,0.9140886228555632,False,True,0.981623041396876,1,17.709159380834848,5.315,in_progress,0.0,0
0,5.0,3.273734357692698,0.687063204841819,0.9156372819023512,30.0,1.0,11,0.48325292172760237,False,True,1.2084568790594064,1,17.709159380834848,5.383,in_progress,0.0,0
0,6.0,3.32198382432801,0.6964217272507003,2.914297900540462,0.5,1.0,2,0.9010497983981253,False,True,1.4809923512566343,2,17.709159380834848,5.453,in_progress,0.0,0
0,7.0,3.3680075380505516,0.714640893936642,6.695388814764345,0.3,1.0,6,0.7649364318236879,False,True,1.7408104614169952,2,17.709159380834848,5.519,in_progress,0.0,0
0,8.0,3.425639763010088,0.7200564934166127,6.360257275081834,-0.3,1.0,5,0.7532889738109729,False,True,2.0662555877003093,2,17.709159380834848,5.585,in_progress,0.0,0
0,9.0,3.496414639573516,0.7214056287547492,4.862826843492192,8.1,1.0,3,0.63454803654734,False,True,2.4659087547972414,3,17.709159380834848,5.652,in_progress,0.0,0
0,10.0,3.5619389085536333,0.7241591529746538,4.220952396249981,19.2,1.0,4,0.44989226289451734,False,True,2.835947513563052,3,17.709159380834848,5.715,in_progress,0.0,0
0,11.0,3.6306917097133264,0.7376357832008708,6.067898423929887,12.8,1.0,9,0.465008082082893,False,True,3.224210591620521,4,17.709159380834848,5.789,in_progress,0.0,0
0,12.0,3.7051543289650133,0.7618570549568217,9.634339413406709,6.9,1.0,1,0.40999244773965005,False,True,3.6447301565048273,4,17.709159380834848,5.856,in_progress,0.0,0
0,13.0,3.772103622111425,0.7862293797260594,12.476884602724915,-0.3,1.0,5,0.36893999229462204,False,True,4.022830525523656,5,17.709159380834848,5.923,in_progress,0.0,0
0,14.0,3.8448991603698075,0.812052442324292,14.55338792274084,19.2,1.0,4,0.01,False,True,4.433927728956289,5,17.709159380834848,5.989,in_progress,0.0,0
0,15.0,3.909453272635494,0.8398649973926577,16.959064048166905,8.1,1.0,3,0.01,False,True,4.79850620301158,6,17.709159380834848,6.057,in_progress,0.0,0
0,16.0,3.970708267659842,0.8760229896110718,20.64645066796691,19.2,1.0,4,0.01,False,True,5.144471196622035,6,17.709159380834848,6.124,in_progress,0.0,0
0,17.0,4.038460108398333,0.9250608956582751,25.413830400649463,14.4,1.0,10,0.01,False,True,5.527148169511955,7,17.709159380834848,6.2,in_progress,0.0,0
0,18.0,4.087696231106669,0.9688297311132548,29.58260043679483,19.2,1.0,4,0.01,False,True,5.805260339118378,7,17.709159380834848,6.256,in_progress,0.0,0
0,19.0,4.130332334525192,1.0140952441526885,33.76577580909972,6.9,1.0,1,0.01,False,True,6.046118192045573,7,17.709159380834848,6.328,in_progress,0.0,0
0,20.0,4.1775751852469,1.0667222338413105,37.62182054923046,14.4,1.0,10,0.01,False,False,6.3129940060714835,7,17.709159380834848,6.389,in_progress,0.0,0
0,21.0,4.219414501883317,1.1193746245652567,41.22926782744395,-0.3,1.0,5,0.01,False,False,6.549357221243575,8,17.709159380834848,6.461,in_progress,0.0,0
0,22.0,4.265831580368918,1.1799669611414896,44.492294207998704,0.3,1.0,6,0.01,False,False,6.811602425853579,8,17.709159380834848,6.525,in_progress,0.0,0
0,23.0,4.308549708570797,1.2308761924400125,45.92486219528446,-0.3,1.0,5,0.01,False,False,7.0529263146538,8,17.709159380834848,6.5920000000000005,in_progress,0.0,0
0,24.0,4.353667174773847,1.2853680948008965,47.10789539137862,-0.3,1.0,5,0.01,True,False,7.307806048207937,9,17.709159380834848,6.66,off_track,0.0,0
1,1.0,4.085314175232308,0.683489228956972,-0.03764949565195632,0.3,1.0,6,0.0,False,True,0.7912495199464665,7,17.709159380834848,6.783,prepare,0.0,0
1,2.0,4.085190493550219,0.683613237488097,0.01993050474260526,30.0,1.0,11,0.5385093026808991,False,True,0.7905513581378719,7,17.709159380834848,6.862,in_progress,0.0,0
1,3.0,4.096329092137806,0.6860061762939967,0.49001358960699853,-10.8,1.0,8,0.797635228577934,False,True,0.853453436721846,7,17.709159380834848,6.915,in_progress,0.0,0
1,4.0,4.118299028139858,0.6870947277415519,0.6911631308155536,19.2,1.0,4,0.6972289241142456,False,True,0.9775154217485066,7,17.709159380834848,6.987,in_progress,0.0,0
1,5.0,4.152130543920269,0.6927764592497284,1.9109374763084175,6.9,1.0,1,0.8629172527316016,False,True,1.168566406764198,7,17.709159380834848,7.055,in_progress,0.0,0
1,6.0,4.201821449171431,0.7056280982801728,4.475060348385273,-5.7,1.0,7,0.9835011024294641,False,True,1.4491864351992372,8,17.709159380834848,7.126,in_progress,0.0,0
1,7.0,4.255726570504972,0.7134605973147213,5.328355851900741,12.8,1.0,9,0.6390874462611693,False,True,1.7535932529008689,8,17.709159380834848,7.192,in_progress,0.0,0
1,8.0,4.313036949246739,0.726684437460871,7.21324064403143,0.5,1.0,2,0.7645359843911337,False,True,2.077241054769366,8,17.709159380834848,7.253,in_progress,0.0,0
1,9.0,4.369876507479682,0.7477768583601377,10.348940406986117,6.9,1.0,1,0.5319310159016744,False,True,2.398245220142407,9,17.709159380834848,7.324,in_progress,0.0,0
1,10.0,4.437784469528337,0.77633268915064,13.850003443255881,-10.8,1.0,8,0.6566221997518197,False,True,2.781763467264421,9,17.709159380834848,7.39,in_progress,0.0,0
1,11.0,4.506853694378331,0.8009381953941437,15.436678562917672,-6.1,1.0,0,0.4523477697480488,False,True,3.1718326346272114,10,17.709159380834848,7.452,in_progress,0.0,0
1,12.0,4.572602606842131,0.8143285736993477,14.455069085805905,-5.7,1.0,7,0.42545673917870885,False,True,3.543138959923933,10,17.709159380834848,7.524,in_progress,0.0,0
1,13.0,4.645529005308163,0.8246326136279916,12.605263024050135,-0.3,1.0,5,0.3285034864457048,False,True,3.954960770742118,11,17.709159380834848,7.59,in_progress,0.0,0
1,14.0,4.7168826153265435,0.8350574842089876,11.405103722936673,14.4,1.0,10,0.08563581127455455,False,True,4.357916231984007,11,17.709159380834848,7.651,in_progress,0.0,0
1,15.0,4.780114073602429,0.850228793313525,11.961281736216499,19.2,1.0,4,0.01,False,True,4.715004268596661,11,17.709159380834848,7.726,in_progress,0.0,0
1,16.0,4.8457038419356335,0.8735270172088128,13.990934833347538,-10.8,1.0,8,0.31086941288978165,False,True,5.085426851509274,12,17.709159380834848,7.791,in_progress,0.0,0
1,17.0,4.9152768014836985,0.893552921938603,14.58011603484459,-6.1,1.0,0,0.14231104324098154,False,True,5.478339539170928,12,17.709159380834848,7.859,in_progress,0.0,0
1,18.0,4.98071404502609,0.9050923652050532,13.35045589787499,8.1,1.0,3,0.01,False,True,5.847875575832216,13,17.709159380834848,7.926,in_progress,0.0,0
1,19.0,5.056669707981581,0.9121032466469958,10.990355070931644,-5.7,1.0,7,0.16090707390660486,False,True,6.276749980946068,13,17.709159380834848,7.99,in_progress,0.0,0
1,20.0,5.119135770649596,0.913952241134796,8.729872198512126,14.4,1.0,10,0.01,False,True,6.629486713969265,14,17.709159380834848,8.051,in_progress,0.0,0
1,21.0,5.184730221957287,0.9159941668754088,6.967233108222112,14.4,1.0,10,0.01,False,True,6.999823247411668,14,17.709159380834848,8.123,in_progress,0.0,0
1,22.0,5.257660773333913,0.9306593585748828,8.223485036696182,0.5,1.0,2,0.10325207927432511,False,True,7.411672139262783,15,17.709159380834848,8.185,in_progress,0.0,0
1,23.0,5.320387528401637,0.9456140581607009,9.509891764434329,0.3,1.0,6,0.04244408790222398,False,True,7.766119555707333,15,17.709159380834848,8.253,in_progress,0.0,0
1,24.0,5.389404007380929,0.9587606656950323,9.902462252903774,0.5,1.0,2,0.01,False,True,8.155874767339965,16,17.709159380834848,8.323,in_progress,0.0,0
1,25.0,5.461414280389823,0.9731029674043836,10.285443368066094,6.9,1.0,1,0.01,False,True,8.564196512059514,16,17.709159380834848,8.391,in_progress,0.0,0
1,26.0,5.534096737881455,0.9879624335320515,10.724297768077507,-10.8,1.0,8,0.10609336745136178,False,True,8.974741956893489,17,17.709159380834848,8.455,in_progress,0.0,0
1,27.0,5.599220154835039,0.9970420979151043,10.034544808288345,-10.8,1.0,8,0.13435632810982534,False,True,9.342555281565255,17,17.709159380834848,8.522,in_progress,0.0,0
