episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
180,1.0,3.1999465906695423,0.6830858779226295,0.14129830425978332,0.0,2.5,7,0.0,False,True,0.791758305801896,1,17.709159380834848,1465.117,prepare,0.0,0
180,2.0,3.1997327938476787,0.6831032114197834,0.18326595495146542,7.5,1.8,11,0.4499983823259248,False,True,0.7905513581379284,1,17.709159380834848,1465.188,in_progress,0.0,0
180,3.0,3.207544797642392,0.6812140685258717,-0.38958609485563417,0.0,2.5,7,0.633790966327569,False,True,0.8346297984135289,1,17.709159380834848,1465.256,in_progress,0.0,0
180,4.0,3.2315986513239316,0.6828496845617233,0.11653311137203151,-8.0,1.7,3,0.45217146562371324,False,True,0.9704890094967852,1,17.709159380834848,1465.329,in_progress,0.0,0
180,5.0,3.2693372481795455,0.6845966163189209,0.4600825155694817,-8.0,1.0,2,0.2926140174455996,False,True,1.183606001340289,1,17.709159380834848,1465.393,in_progress,0.0,0
180,6.0,3.3184422213326985,0.6839886347954517,0.22877474058022212,-5.0,1.0,4,0.30545386747057574,False,True,1.4608861561754498,2,17.709159380834848,1465.463,in_progress,0.0,0
180,7.0,3.3773792690505178,0.6841027399257413,0.13080097213088973,0.0,1.0,6,0.3165593955943854,False,True,1.7936869883932574,2,17.709159380834848,1465.516,in_progress,0.0,0
180,8.0,3.442699142335941,0.6879701907838233,0.9046908571454061,15.0,1.0,12,0.32372529163008756,False,True,2.162540474245071,3,17.709159380834848,1465.597,in_progress,0.0,0
180,9.0,3.510295159055127,0.7004404963745431,3.456139839903134,4.0,2.1,9,0.5999631946800268,False,True,2.544272862291982,3,17.709159380834848,1465.659,in_progress,0.0,0
180,10.0,3.5935837543598224,0.7190559284672495,6.375976763816493,4.0,1.0,8,0.3416560492540488,False,True,3.014628069466982,4,17.709159380834848,1465.739,in_progress,0.0,0
180,11.0,3.6796678077670393,0.7387464086848432,8.696764514644379,-8.0,1.7,3,0.5143317375998958,False,True,3.5007642242451538,4,17.709159380834848,1465.811,in_progress,0.0,0
180,12.0,3.7679806261919127,0.7525202205196527,8.661231258159647,-5.0,2.0,5,0.5891232791452565,False,True,3.999477674999252,5,17.709159380834848,1465.863,in_progress,0.0,0
180,13.0,3.846935275219843,0.7583625415539521,7.282976943591001,-5.0,2.0,5,0.5807432659889369,False,True,4.445319791642691,5,17.709159380834848,1465.934,in_progress,0.0,0
180,14.0,3.9633795741017477,0.7652653398575735,5.655704166103389,-8.0,1.0,2,0.378351860687508,False,True,5.102870259532512,6,17.709159380834848,1465.997,in_progress,0.0,0
180,15.0,4.062247510144552,0.766234205853658,3.877599122709474,-5.0,2.0,5,0.6071988159963075,False,True,5.661159134711166,7,17.709159380834848,1466.05,in_progress,0.0,0
180,16.0,4.156583027941968,0.7650750058870356,2.2061848659212178,-5.0,2.0,5,0.6040041961235588,False,True,6.193853081638712,7,17.709159380834848,1466.134,in_progress,0.0,0
180,17.0,4.274342369493871,0.7609832834338747,0.2965800550801795,-5.0,1.0,4,0.3825004289588314,False,True,6.858810338992587,8,17.709159380834848,1466.195,in_progress,0.0,0
